05-07-2023 	 05:07:22 	 a8d115c6-aac8-4607-b934-79ec340739d3 	 GET	undefined	/css/style.css 
05-07-2023 	 05:09:46 	 ddc4a14e-2e72-47d2-9c8d-2c4e4069f8b0 	 GET	undefined	/CA/Admission 
05-07-2023 	 05:09:46 	 8c4adab5-9663-428b-84a5-5fc5fb2bd639 	 GET	undefined	/css/style.css 
05-07-2023 	 05:09:53 	 3705bf67-74c2-4e34-b5a6-9276072a6008 	 GET	undefined	/css/style.css 
05-07-2023 	 05:09:57 	 a6aa8625-9c61-4d3e-a48b-d50ffbe94062 	 GET	undefined	/states.CA/Admission 
05-07-2023 	 05:09:57 	 2d84caa0-d88a-4baa-9e7f-4c53d2aa9cd7 	 GET	undefined	/css/style.css 
05-07-2023 	 05:10:00 	 811fb5e5-7659-4a7d-a6a5-5f8f464524ea 	 GET	undefined	/states/CA/Admission 
05-07-2023 	 05:10:00 	 7eb13fc5-8916-4f04-a4b8-544e6a280f06 	 GET	undefined	/css/style.css 
05-07-2023 	 05:10:24 	 69cdfcd8-26f9-4129-9b27-f484fa1b7129 	 GET	undefined	/states/CA/Admission 
05-07-2023 	 05:12:41 	 38f1f624-1572-4bf8-a32f-4467560b83b3 	 GET	undefined	/states/CA/Populatin 
05-07-2023 	 05:12:41 	 d02320dd-2dd5-4986-b03a-2294619c5e11 	 GET	undefined	/css/style.css 
05-07-2023 	 05:12:43 	 952a841c-5f10-4ce0-bda2-cd948632e9f2 	 GET	undefined	/states/CA/Population 
05-07-2023 	 05:12:51 	 1e4179ea-79b2-4854-837c-f25aeadee92f 	 GET	undefined	/states/CA/Nickname 
05-07-2023 	 05:14:14 	 ef7840dd-173f-4a50-a9d2-63f86fd2eb15 	 GET	undefined	/states/CA/nickname 
05-07-2023 	 05:14:17 	 887c1113-dd1b-4f2e-9e9a-156c28dd7fc2 	 GET	undefined	/states/CA/population 
05-07-2023 	 05:14:20 	 23ca8583-5586-40ca-a951-7a0c7bcc88bc 	 GET	undefined	/states/CA/capital 
05-07-2023 	 05:14:25 	 411fbf22-d954-4590-a469-e108639aec8b 	 GET	undefined	/states/CA/admission 
05-07-2023 	 07:11:26 	 4f8f1ca0-987e-4706-b548-e93fef25dc1d 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:12:28 	 e42a3796-c5d9-4b52-b8b8-76defb432ab7 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:14:26 	 3994ffbe-855e-4bee-b992-39b489e9332d 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:14:28 	 9e058423-5d0c-49dd-a4e0-5b7f42bfc8ad 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:14:28 	 e37723f7-b013-40a9-b8b5-1cf92b4ff7af 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:14:28 	 25391ee9-321f-4aec-a44b-8e542655510b 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:30 	 5d15e190-3c82-41eb-8eae-c4c4dd4ca2d8 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:31 	 b67d3071-d743-428e-aaf6-aed4662fa049 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:31 	 d78054de-774f-4628-a085-302acf866bd9 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:31 	 9869b56d-7df0-4cd2-a749-0544530acaf4 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:32 	 d148609d-a63f-45f6-bb73-6647ab0edfff 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:32 	 c562f5ec-1d82-4df4-8b05-a74a79d1248a 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:32 	 55f3d674-0613-4d1c-a96d-678d25e55ab4 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:33 	 6defb0a1-9498-4f76-bddb-725e3a39a88a 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:33 	 60e2c9b4-af71-4b3f-bbb7-e8193dc0471f 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:33 	 3a5b1044-79b6-4ec1-b48c-f256d9e8400c 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:15:33 	 b30e473f-2ef1-4f60-ad5d-4a042216fae9 	 GET	undefined	/states/KS/funfact 
05-07-2023 	 07:21:53 	 4965d6b9-ca24-4ffa-80b5-5bf0bd91521d 	 GET	undefined	/states/KS 
05-07-2023 	 07:24:51 	 4fd700a9-fc69-4af1-bf03-9a104b3e6121 	 GET	undefined	/states/KS 
05-07-2023 	 07:25:10 	 3a6a650f-127e-468a-8732-c79b84c1e17d 	 GET	undefined	/states/KS 
05-07-2023 	 07:35:25 	 76b7658e-1069-4da7-a8dc-21b87356a2d0 	 GET	undefined	/states 
05-07-2023 	 07:35:40 	 3d87868f-953e-4617-842f-3f6f6208583d 	 GET	undefined	/states 
05-07-2023 	 07:37:21 	 993d2851-f917-41d9-8a53-3675f12645ee 	 GET	undefined	/states 
05-07-2023 	 07:37:37 	 e8053071-cb58-4770-9cb4-92a8b1af7388 	 GET	undefined	/states 
05-07-2023 	 07:38:00 	 cb4ef2f9-3c53-432b-aec8-91bffad96a06 	 GET	undefined	/states 
05-07-2023 	 07:42:09 	 95328e7e-c7ea-4eed-9f58-383d91bbc669 	 GET	undefined	/states? 
05-07-2023 	 07:42:12 	 428f8a50-1204-4ece-9439-5af68ffecaca 	 GET	undefined	/states?poop 
05-07-2023 	 07:46:12 	 35b80007-7479-47c6-bbf8-22b2a598d8ff 	 GET	undefined	/states 
05-07-2023 	 07:46:24 	 b11a6254-27a8-4ff3-b5e8-cdc9ac10d887 	 GET	undefined	/states 
05-07-2023 	 07:51:49 	 e6107347-6675-420e-b625-76e39fc10149 	 GET	undefined	/states 
05-07-2023 	 07:51:54 	 9138241c-0e59-4e81-a600-1dd8630e0ff0 	 GET	undefined	/states 
05-07-2023 	 07:52:27 	 561a5bce-9fe2-4f3c-92d8-d237d8e676e6 	 GET	undefined	/states?contig 
05-07-2023 	 07:52:32 	 4aed61f3-fd23-436b-a4b0-4d2149f5221f 	 GET	undefined	/states?contig=true 
05-07-2023 	 07:52:38 	 02fa1729-76c9-40e7-b84e-33fc67eb6ab6 	 GET	undefined	/states?contig=false 
05-07-2023 	 07:52:56 	 b4533318-b760-4b0e-8476-593ecc066068 	 GET	undefined	/states?contig=true 
05-07-2023 	 07:53:26 	 d13c47b4-c1a8-44b0-ac8b-d8063a22060f 	 GET	undefined	/states?contig=false 
05-07-2023 	 07:53:30 	 5e0f3dfa-ce56-4ed5-a3f3-b693a817c605 	 GET	undefined	/states 
